trade_date,underlying_code,direction,entry_time,contract_id,dte,delta,iv_rank_252,implied_volatility,signal_strength,position_pct,entry_mid,entry_fill,exit_reason,exit_legs,exit_fills,contracts,premium,fee,gross_pnl,net_pnl,return_on_premium,daily_pnl_after,capital_before,capital_after,skipped,skip_reason
2026-01-06,588000,call,2026-01-06 09:40:00,588000C2601M01500,22,0.542,0.1821460775473399,0.301,normal,0.325,0.0465,0.0466,tp1_eod,0.5@0.062775;0.5@0.047900,94@0.062675;94@0.047800,188,87608.0,752.0,16238.5,15486.5,0.17677038626609443,15486.5,270120.9199999999,285607.4199999999,False,
2026-01-08,588000,call,2026-01-08 09:46:00,588000C2601M01550,20,0.454,0.1848512173128945,0.305,strong_position_scaled,0.5,0.0388,0.038900000000000004,trail_20%,0.333333@0.058200;0.666667@0.047280,122@0.058100;245@0.047180,367,142763.0,1468.0,43710.0,42242.0,0.29588899084496684,42242.0,285607.4199999999,327849.4199999999,False,
2026-01-21,588000,call,2026-01-21 09:46:00,588000C2602M01600,35,0.577,0.1596032461677186,0.271,strong_position_scaled,0.5,0.062,0.0621,eod,1.0@0.064400,263@0.064300,263,163323.0,1052.0,5785.999999999971,4733.999999999971,0.028985507246376635,4733.999999999971,327849.4199999999,332583.4199999999,False,
2026-03-03,588000,put,2026-03-03 10:00:00,588000P2603M01500,22,-0.602,0.1839495040577096,0.31,strong_cluster_position_scaled_cluster_acceleration_exemption,0.25,0.0373,0.0374,tp1_eod,0.333333@0.055950;0.666667@0.065500,74@0.055850;148@0.065400,222,83028.00000000001,888.0,55092.999999999985,54204.999999999985,0.6528520499108732,54204.999999999985,332583.4199999999,386788.4199999999,False,
2026-03-09,588000,put,2026-03-09 09:46:00,588000P2603M01450,16,-0.411,0.1253381424706943,0.283,strong_daily_volume_reduced_position_scaled,0.35,0.0479,0.048,soft_stop,1.0@0.039278,282@0.039178,282,135360.0,1128.0,-24878.040000000008,-26006.040000000008,-0.19212500000000007,-26006.040000000008,386788.4199999999,360782.3799999999,False,
2026-03-19,588000,put,2026-03-19 13:30:00,588000P2604M01400,34,-0.437,0.193868349864743,0.317,strong_position_scaled,0.5,0.0488,0.048900000000000006,eod,1.0@0.048000,368@0.047900,368,179952.0,1472.0,-3680.000000000029,-5152.000000000029,-0.02862985685071591,-5152.000000000029,360782.3799999999,355630.3799999999,False,
2026-03-23,588000,put,2026-03-23 13:15:00,588000P2604M01350,30,-0.521,0.3715058611361587,0.416,strong_reduced_position_scaled,0.375,0.0615,0.0616,eod,1.0@0.078300,216@0.078200,216,133056.0,864.0,35855.99999999997,34991.99999999997,0.26298701298701277,34991.99999999997,355630.3799999999,390622.3799999999,False,
2026-04-22,588000,call,2026-04-22 09:43:00,588000C2605M01550,35,0.464,0.1932773109243697,0.264,normal,0.5,0.03439,0.03449,eod,1.0@0.040900,566@0.040800,566,195213.4,2264.0,35714.59999999998,33450.59999999998,0.171354015656712,33450.59999999998,390622.3799999999,424072.97999999986,False,
2026-04-30,588000,call,2026-04-30 09:40:00,588000C2605M01650,27,0.539,0.2665066026410564,0.285,normal,0.325,0.0346,0.0347,tp2,0.5@0.046710;0.5@0.062280,198@0.046610;199@0.062180,397,137759.0,1588.0,78267.0,76679.0,0.5566169905414529,76679.0,424072.97999999986,500751.97999999986,False,
2026-05-06,588000,call,2026-05-06 09:46:00,588000C2605M01750,21,0.508,0.4345738295318127,0.342,strong_reduced_position_scaled,0.375,0.0818,0.0819,trail_20%,0.333333@0.122700;0.666667@0.101440,76@0.122600;153@0.101340,229,187551.0,916.0,60675.20000000001,59759.20000000001,0.31862906622731957,59759.20000000001,500751.97999999986,560511.1799999999,False,
2026-05-20,588000,call,2026-05-20 09:41:00,588000C2606M01950,35,0.495,0.5918367346938775,0.344,normal,0.5,0.065905,0.06600500000000001,eod,1.0@0.076800,424@0.076700,424,279861.2,1696.0,45346.79999999993,43650.79999999993,0.15597303234603413,43650.79999999993,560511.1799999999,604161.9799999999,False,
2026-05-25,588000,call,2026-05-25 09:43:00,588000C2606M02000,30,0.526,0.6434573829531813,0.368,normal,0.5,0.058685,0.058785000000000004,tp1_eod,0.5@0.079225;0.5@0.085200,256@0.079125;257@0.085100,513,301567.05000000005,2052.0,119699.94999999995,117647.94999999995,0.3901220309049014,117647.94999999995,604161.9799999999,721809.9299999998,False,
