date,contract,symbol,entry_price,base_exit,base_ret_pct,early_ret_pct,pnl_improve,pre1030_max_high_pct,ret_1000_pct,ret_1015_pct,ret_1030_pct,post1030_max_pct,day_max_pct,day_max_time,etf_1030_ret_from_entry_pct,etf_after_entry_max_pct,volume15,delta,iv
2024-09-20,588000P2410M00700,科创50沽10月700,0.04,eod,-13.9,-6.68,4158.0,0.0,,-4.31,-4.04,3.23,3.23,13:42,0.15,0.59,,-0.63,0.26
2024-11-04,588000P_REV_10008034,科创50沽11月1000,0.07,eod,-10.53,-4.51,1250.0,1.51,-1.81,-2.27,-3.02,1.96,1.96,13:46,0.4,0.9,4187.0,-0.45,0.62
2025-07-11,588000P_REV_10008860,科创50沽9月1050,0.06,eod,-6.32,0.0,2412.0,0.53,-1.59,-2.82,-3.53,1.06,1.06,11:04,0.19,1.25,1357.0,-0.46,0.29
2025-12-22,588000P_REV_10010508,科创50沽1月1400,0.05,soft_stop,-19.79,-6.43,11782.96,1.71,-4.56,-4.56,-4.56,-0.76,1.71,09:54,0.22,1.22,5823.0,-0.45,0.28
2026-06-03,588000P_REV_10010962,科创50沽6月1850,0.11,soft_stop,-18.89,-11.16,16072.44,0.0,-9.39,-3.13,-10.25,14.04,14.04,14:34,1.22,3.43,9707.0,-0.52,0.5
2026-06-04,588000P_REV_10010962,科创50沽6月1850,0.1,eod,-3.49,-6.59,-8846.0,3.6,-8.41,-5.11,-5.61,3.0,3.6,09:52,1.32,1.92,11338.0,-0.5,0.52
