trade_date,underlying_code,direction,entry_time,contract_id,strategy_source,dual_signal_date,position_pct_standalone,position_pct,exit_reason,contracts,entry_fill,premium,fee,gross_pnl,net_pnl,return_on_premium,exit_fills,capital_before_day,day_net_pnl,capital_after_day
2025-02-21,588000,call,2025-02-21 10:30:00,588000C2503M01150,588000_v1.1,False,0.175,0.175,trail_20%,65,0.026699999999999998,17355.0,260.0,10140.399999999998,9880.399999999998,0.5693114376260442,22@0.039800;43@0.043580,100000.0,9880.399999999998,109880.4
2025-02-24,588000,call,2025-02-24 09:41:00,588000C2503M01200,588000_v1.1,False,0.5,0.5,soft_stop,146,0.03748,54720.8,584.0,-13935.699999999997,-14519.699999999997,-0.2653415154749199,146@0.027935,109880.4,-14519.699999999997,95360.7
2025-04-07,588000,put,2025-04-07 09:46:00,588000P2504M01000,588000_v1.1,False,0.25,0.25,trail_35%,68,0.035,23800.000000000004,272.0,10109.999999999996,9837.999999999996,0.4133613445378149,23@0.052250;45@0.048650,95360.7,39326.79999999999,134687.5
2025-04-07,588000,put,2025-04-07 13:15:00,588000P2504M01000,588000_v1.1,False,0.25,0.25,trail_20%,43,0.0546,23478.000000000004,172.0,29660.799999999992,29488.799999999992,1.256018400204446,14@0.081650;29@0.143820,95360.7,39326.79999999999,134687.5
2025-07-23,159915,call,2025-07-23 09:40:00,159915C2508M002300,159915_v1.1,False,0.325,0.325,opening_confirm_fail,74,0.059000000000000004,43660.00000000001,296.0,813.9999999999854,517.9999999999854,0.011864406779660682,74@0.060100,134687.5,517.9999999999854,135205.5
2025-07-25,588000,call,2025-07-25 14:15:00,588000C2508M01100,588000_v1.1,False,0.25,0.25,eod,100,0.0337,33700.0,400.0,6000.0,5600.0,0.1661721068249258,100@0.039700,135205.5,5600.0,140805.5
2025-07-29,588000,call,2025-07-29 10:15:00,588000C2508M01100,588000_v1.1,False,0.5,0.5,eod,159,0.0441,70119.0,636.0,5882.999999999985,5246.999999999985,0.07482993197278891,159@0.047800,140805.5,5246.999999999985,146052.5
2025-08-20,588000,call,2025-08-20 09:41:00,588000C2509M01250,588000_v1.1,False,0.325,0.325,tp1_eod,181,0.0262,47422.00000000001,724.0,18961.499999999993,18237.499999999993,0.3845788874362108,90@0.035135;91@0.038200,146052.5,18237.499999999993,164290.0
2025-08-22,588000,call,2025-08-22 09:40:00,588000C2509M01400,588000_v1.1,True,0.5,0.5,tp2,535,0.01534,82068.99999999999,2140.0,45777.760000000024,43637.760000000024,0.5317203816300922,268@0.020474;267@0.027332,164290.0,43637.760000000024,207927.76
2025-09-17,159915,call,2025-09-17 09:40:00,159915C2510M003100,159915_v1.1,False,0.2274999999999999,0.2274999999999999,eod,35,0.13249999999999998,46374.99999999999,140.0,10815.000000000007,10675.000000000007,0.23018867924528322,35@0.163400,207927.76,10675.000000000007,218602.76
2025-09-19,159915,call,2025-09-19 09:40:00,159915C2510M003100,159915_v1.1,False,0.325,0.325,opening_confirm_fail,52,0.1349,70147.99999999999,208.0,-3535.999999999971,-3743.999999999971,-0.05337286879169715,52@0.128100,218602.76,-3743.999999999971,214858.76000000004
2025-09-24,588000,call,2025-09-24 09:42:00,588000C2510M01550,588000_v1.1,False,0.7,0.7,eod,316,0.047575000000000006,150337.0,1264.0,31362.99999999997,30098.99999999997,0.20021019442984742,316@0.057500,214858.76000000004,30098.99999999997,244957.76
2025-10-09,588000,call,2025-10-09 09:40:00,588000C2510M01600,588000_v1.1,False,0.35,0.35,tp1_eod,137,0.062195,85207.15,548.0,10229.89,9681.89,0.11362767091728805,68@0.083728;69@0.055800,244957.76,9681.89,254639.65000000002
2025-12-24,159915,call,2025-12-24 09:43:00,159915C2601M003300,159915_v1.1,False,0.325,0.325,eod,176,0.0468,82368.0,704.0,11263.999999999985,10559.999999999985,0.12820512820512803,176@0.053200,254639.65000000002,10559.999999999985,265199.65
